lon,lat,kota
113.3,-6.6,Madura
115.36,-6.6,Kangean
114.95,-8.38,Bali
117.3,-8.81,Sumbawa
126.28,-8.07,Wetar
128.6,-13.69,Australia
126.53,-3.44,Buru
120.26,-9.76,Waingapu
119.41,-9.52,Waikabubak
120.34,-10.23,Baing
121.75,-10.53,Sabu
123.28,-10.56,Rote
123.70,-10.07,Kupang
124.40,-9.86,Soe
124.47,-9.51,Kefamenanu
124.92,-9.18,Atambua
124.79,-8.22,Kalabahi
123.69,-8.38,Lewoleba
122.70,-8.28,Larantuka
122.83,-8.65,Lewotobi
121.90,-8.59,Maumere
122.00,-8.74,Sikka
121.50,-8.80,Ende
120.76,-8.79,Bajawa
120.47,-8.52,Ruteng
119.88,-8.63,Labuhanbajo
