nama,kode,latitude,longitude,altitude,type,status
Alor Selatan,AAFM,-8.2734,124.7238,830,MiniReg,aktif
Alor,ALKI,-8.1445,124.5903,82.93,Libra (Ina),aktif
Alor Timur,ALTI,-8.290706,125.125202,13,Type-A,aktif
Atambua,ATNI,-9.0835,124.8644,413.03,Libra (Ina),aktif
Baing,BASI,-10.2189,120.5777,80.84,Libra (Ina),aktif
Baumata,BATI,-10.2065,123.6633,356.11,CTBTO (Ina),aktif
Bajawa,BNTI,-8.78597,120.97688,1243,Type-A,aktif
Ende,EDFI,-8.7497,121.6903,914.34,Libra (Ina),aktif
Ile Boleng,IBTI,-8.385793,123.258452,154,Type-A,aktif
Kuwus,KMBFM,-8.5654,120.3131,1217.1,MiniReg,aktif
Kolbano,KTTI,-10.013528,124.533989,129,Type-A,aktif
Langke Rembong,LMTI,-8.600945,120.477042,1229,Type-A,aktif
Labuhan Bajo,LBFI,-8.48,119.8921,75,CEA (China),Aktif
Lembata,LMNI,-8.2388,123.7157,78,CEA (China),Aktif
Larantuka,LRTI,-8.2752,123.00,53,Libra (Ina),aktif
Maumere,MMRI,-8.6357150,122.237605,2,GFZ (Jerman),aktif
Komodo,OMBFM,-8.6911,119.8248,102,MiniReg,aktif
Pantai Barat,PAFM,-8.3832,124.1284,77,MiniReg,aktif
Riung,RNFM,-8.4293,121.0261,84,MiniReg,aktif
Pulau Sabu,SBNI,-10.491740,121.845689,14,Libra (Ina),aktif
Soe,SOEI,-9.755265,124.267243,1047,GFZ (Jerman),aktif
Umbu Ratu Nggay,USTI,-9.65424643,119.78765352,449,Type-A,aktif
Waikabubak,WBSI,-9.6411,119.3911,456.67,Libra (Ina),aktif
Wewaria,WEFM,-8.6069,121.7178,114,MiniReg,aktif
Wulanggitang,WFTFM,-8.5246,122.7095,354,MiniReg,aktif
Wulandoni,WLFM,-8.5311,123.4499,495,MiniReg,aktif
Waingapu,WSI,-9.66897,120.29767,48,Jisnet (Jepang),aktif
